# case	atom_ns	stdlib_ns	atom_B	stdlib_B	atom_allocs	stdlib_allocs
1	3.996	4.055	0	0	0	0
2	5.297	5.682	0	0	0	0
4	5.783	6.848	0	0	0	0
8	8.746	7.139	0	0	0	0
