# case	atom_ns	stdlib_ns	atom_B	stdlib_B	atom_allocs	stdlib_allocs
1	4.258	4.138	0	0	0	0
2	11.66	10.34	0	0	0	0
4	17.32	18.48	0	0	0	0
8	23.06	23.59	0	0	0	0
