# case	atom_ns	stdlib_ns	atom_B	stdlib_B	atom_allocs	stdlib_allocs
1	8.895	8.118	0	0	0	0
2	19.57	20.05	0	0	0	0
4	26.32	26.76	0	0	0	0
8	27.21	27.44	0	0	0	0
