# case	atom_ns	stdlib_ns	atom_B	stdlib_B	atom_allocs	stdlib_allocs
1	0.2188	0.2061	0	0	0	0
2	0.1060	0.1034	0	0	0	0
4	0.05137	0.05126	0	0	0	0
8	0.02631	0.02639	0	0	0	0
