# label atom_ns atom_min atom_max stdlib_ns stdlib_min stdlib_max atom_B stdlib_B atom_allocs stdlib_allocs ratio
1	3.669	3.652	3.736	3.703	3.663	3.721	0	0	0	0	0.990818
2	5.448	5.351	5.527	5.302	5.153	5.572	0	0	0	0	1.02754
4	5.529	5.49	5.546	5.437	5.418	5.714	0	0	0	0	1.01692
8	6.312	5.958	7.172	6.44	5.709	6.957	0	0	0	0	0.980124
