# label atom_ns atom_min atom_max stdlib_ns stdlib_min stdlib_max atom_B stdlib_B atom_allocs stdlib_allocs ratio
"GreaterEqual"	1.279	1.173	1.373	0.6831	0.611	0.7575	0	0	0	0	1.87235
"GreaterRejected"	1.118	1.099	1.122	0.5092	0.5059	0.5282	0	0	0	0	2.1956
"Int64GreaterChanged"	5.056	4.939	5.184	4.242	4.203	4.337	0	0	0	0	1.19189
"Int64LessChanged"	5.015	4.896	5.18	4.22	4.196	4.315	0	0	0	0	1.18839
"LessEqual"	1.291	1.234	1.316	0.7503	0.6854	0.8303	0	0	0	0	1.72065
"LessRejected"	1.101	1.078	1.129	0.591	0.5674	0.6019	0	0	0	0	1.86294
"Uint64GreaterChanged"	5.087	5.031	5.169	4.335	4.228	4.522	0	0	0	0	1.17347
"Uint64LessChanged"	5.175	4.994	5.178	4.343	4.139	4.391	0	0	0	0	1.19157
